
Student ID: 12345678
Student Name: Chan Kok Wai
Semester:   1
    Unit ID:            ICT283
    Unit Name:          Data Structures
    Unit Coordinator:   Dr Andrea
    Room Number:        42
    Phone Number:       97865654
    Email:              andrea_leong@outlook.com
    Credits:            3
    Marks:              95
    Date:               21/7/2020

    Unit ID:            ICT289
    Unit Name:          Computer Graphics
    Unit Coordinator:   Dr Andrea
    Room Number:        42
    Phone Number:       97865654
    Email:              andrea_leong@outlook.com
    Credits:            3
    Marks:              80
    Date:               19/3/2020

